accuracy,precision,recall,f1,auc,best_threshold,opt_accuracy,opt_precision,opt_recall,opt_f1,actual_epochs,hidden_units,n_layers,learning_rate,dropout_rate,weight_positives,class_weight_value,n_epochs,batch_size,early_stopping_patience,seed
0.969309462915601,0.7333333333333333,0.3548387096774194,0.4782608695652174,0.7933937545638073,0.35494092373791625,0.9718670076726342,0.7647058823529411,0.41935483870967744,0.5416666666666666,6,50,1,0.001,0.2,True,3.0,10,64,2,1
0.9680306905370843,0.7142857142857143,0.3225806451612903,0.4444444444444444,0.7844164769554572,0.3990870032223416,0.969309462915601,0.7333333333333333,0.3548387096774194,0.4782608695652174,7,50,1,0.001,0.2,True,3.0,10,64,2,2
0.969309462915601,0.7333333333333333,0.3548387096774194,0.4782608695652174,0.7909454061251664,0.47180451127819556,0.969309462915601,0.7333333333333333,0.3548387096774194,0.4782608695652174,6,50,1,0.001,0.2,True,3.0,10,64,2,3
0.9667519181585678,0.6666666666666666,0.3225806451612903,0.43478260869565216,0.7987629397362656,0.3835123523093448,0.9680306905370843,0.6666666666666666,0.3870967741935484,0.4897959183673469,6,50,1,0.001,0.2,True,5.0,10,64,2,1
0.9667519181585678,0.6666666666666666,0.3225806451612903,0.43478260869565216,0.7681800609939435,0.4113319011815253,0.9680306905370843,0.6666666666666666,0.3870967741935484,0.4897959183673469,7,50,1,0.001,0.2,True,5.0,10,64,2,2
0.9667519181585678,0.6923076923076923,0.2903225806451613,0.4090909090909091,0.7781882221554057,0.433780880773362,0.9667519181585678,0.6666666666666666,0.3225806451612903,0.43478260869565216,7,50,1,0.001,0.2,True,5.0,10,64,2,3
0.9654731457800512,0.625,0.3225806451612903,0.425531914893617,0.7768137107512564,0.48071965628356605,0.9654731457800512,0.6111111111111112,0.3548387096774194,0.4489795918367347,7,50,1,0.001,0.2,True,8.0,10,64,2,1
0.9629156010230179,0.5555555555555556,0.3225806451612903,0.40816326530612246,0.7604913878269833,0.45547798066595063,0.9641943734015346,0.5789473684210527,0.3548387096774194,0.44,7,50,1,0.001,0.2,True,8.0,10,64,2,2
0.9616368286445013,0.5294117647058824,0.2903225806451613,0.375,0.7723035952063915,0.5960794844253491,0.9680306905370843,0.75,0.2903225806451613,0.4186046511627907,7,50,1,0.001,0.2,True,8.0,10,64,2,3
0.9705882352941176,0.7857142857142857,0.3548387096774194,0.4888888888888889,0.785490313989949,0.3339957035445757,0.9731457800511509,0.75,0.4838709677419355,0.5882352941176471,5,50,1,0.001,0.3,True,3.0,10,64,2,1
