hidden_units,n_layers,learning_rate,dropout_rate,weight_positives,class_weight_value,n_epochs,batch_size,early_stopping_patience,accuracy,precision,recall,f1,auc,best_threshold,opt_accuracy,opt_precision,opt_recall,opt_f1,actual_epochs,seed
50,2,0.001,0.5,True,3.0,10,64,2,0.9731457800511509,0.8226890756302522,0.40860215053763443,0.5452093397745571,0.7917185687900004,0.3427676333691371,0.9761295822676898,0.8140350877192982,0.5161290322580645,0.6316339869281046,6.0,2.0
50,2,0.001,0.2,True,3.0,10,64,2,0.9705882352941176,0.750375939849624,0.3870967741935483,0.5087278582930757,0.805993442435176,0.37832080200501256,0.973998294970162,0.7671261487050961,0.4946236559139785,0.6012066365007541,5.0,2.0
50,2,0.0005,0.5,True,3.0,10,64,2,0.9731457800511509,0.7992690058479531,0.43010752688172044,0.5580018501387604,0.776828028578383,0.3321339061940565,0.9744245524296676,0.7894736842105262,0.4838709677419355,0.6,8.333333333333334,2.0
100,2,0.0005,0.5,True,3.0,10,64,2,0.9705882352941176,0.8012987012987013,0.3440860215053763,0.4797331492983667,0.7991924745500621,0.29317937701396346,0.9735720375106564,0.759018759018759,0.4946236559139785,0.5978890830642852,7.0,2.0
100,2,0.001,0.5,True,3.0,10,64,2,0.9710144927536232,0.7708994708994709,0.38709677419354843,0.5140688159321699,0.79949314891972,0.36657715717866096,0.9735720375106564,0.753968253968254,0.4946236559139785,0.5972850678733032,5.333333333333333,2.0
50,2,0.0005,0.2,True,3.0,10,64,2,0.9697357203751066,0.7688492063492064,0.3440860215053763,0.4740300914472117,0.7997651876351245,0.37491944146079487,0.9735720375106564,0.765079365079365,0.4838709677419355,0.5922163737289788,6.333333333333333,2.0
100,2,0.0005,0.2,True,3.0,10,64,2,0.9727195225916453,0.775925925925926,0.44086021505376344,0.5604676653270003,0.7945105450796787,0.42808807733619764,0.973998294970162,0.7855750487329435,0.4731182795698925,0.5904761904761905,5.0,2.0
100,2,0.0005,0.3,True,3.0,10,64,2,0.9710144927536232,0.7445533769063181,0.40860215053763443,0.5273556231003039,0.789542259066764,0.36786609380594343,0.9735720375106564,0.7724171539961014,0.4731182795698925,0.5865546218487395,5.666666666666667,2.0
100,2,0.001,0.3,True,3.0,10,64,2,0.9727195225916453,0.7936507936507936,0.41935483870967744,0.545704272046983,0.7975745600847616,0.4016290726817043,0.973998294970162,0.796078431372549,0.4623655913978495,0.5841503267973857,4.333333333333333,2.0
50,2,0.0005,0.5,True,5.0,10,64,2,0.9722932651321399,0.7897875816993464,0.40860215053763443,0.5382618974200843,0.7950546225104879,0.35995345506623705,0.9735720375106564,0.7812177502579979,0.4623655913978495,0.5805555555555556,9.0,2.0
50,2,0.0005,0.3,True,3.0,10,64,2,0.9697357203751066,0.7519607843137255,0.3548387096774193,0.48011459386585775,0.7836289964634967,0.32508055853920514,0.9735720375106564,0.7839912280701755,0.4623655913978495,0.5804755944931164,7.0,2.0
50,2,0.001,0.2,True,5.0,10,64,2,0.9701619778346121,0.7110423116615067,0.41935483870967744,0.5272222222222221,0.8012112881749066,0.4786072323666309,0.9722932651321399,0.7381349206349207,0.4838709677419355,0.580001558724963,5.0,2.0
50,2,0.001,0.3,True,3.0,10,64,2,0.9714407502131287,0.7531863847653321,0.40860215053763443,0.5268398268398268,0.7983763584038486,0.3790010741138561,0.9727195225916453,0.7447368421052633,0.4731182795698925,0.578562091503268,5.333333333333333,2.0
50,2,0.001,0.5,True,5.0,10,64,2,0.9727195225916453,0.7935328517371861,0.43010752688172044,0.5567391304347825,0.7925919562447202,0.4448442534908701,0.9731457800511509,0.7915343915343915,0.4516129032258065,0.5727595385980478,6.666666666666667,2.0
50,1,0.0005,0.3,True,3.0,10,64,2,0.9684569479965899,0.7188644688644689,0.3333333333333333,0.45472455046923127,0.7857623527053534,0.3221804511278195,0.9718670076726342,0.7244766505636071,0.4731182795698925,0.5710135906214338,8.666666666666666,2.0
100,2,0.001,0.5,True,5.0,10,64,2,0.9714407502131287,0.7412567366127737,0.43010752688172044,0.5440929705215419,0.7977750096645333,0.4459541711421411,0.9722932651321399,0.7541666666666668,0.4516129032258065,0.5634821304408288,5.666666666666667,2.0
100,1,0.001,0.2,True,3.0,10,64,2,0.9697357203751066,0.7507936507936508,0.3548387096774193,0.48180354267310793,0.7940953280930086,0.3454887218045113,0.9714407502131287,0.7146464646464646,0.4623655913978495,0.5606015991302181,5.333333333333333,2.0
100,2,0.0005,0.5,True,5.0,10,64,2,0.9714407502131287,0.750515995872033,0.41935483870967744,0.5374349881796691,0.7920049253325315,0.3982277121374866,0.9705882352941176,0.6888198757763976,0.4731182795698925,0.56049941344059,7.0,2.0
